Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
The Cider House Rules,John Irving,"",9780786226740,hardcover,read,2016/12/08,2019/08/09,2019/08/09,1,"",,,,,,,5.0,,"",,"",No
La fortuna: BLACKWATER V [Edizione italiana],Michael McDowell,"",9791255020691,digital,read,2024/08/13,2024/09/29,2024/09/29,1,"",,,,,,,4.0,,"",,"",No
Tehanu,Ursula K. Le Guin,"",9781416509639,paperback,read,2024/01/07,2024/02/10,2024/02/10,1,"",,,,,,,4.0,"My least favourite so far. The third act felt rushed. Outside of that, I felt it as meditative and profound in the quiet moments as the rest of them. This book really benefits from it afterword","",,"",No
City Primeval,Elmore Leonard,Frank Muller (Narrator),9780061993725,audio,read,2021/08/25,2022/10/02,2022/10/02,1,"",,,,,,,5.0,,"",,"",No
The Adventure of the Blue Carbuncle,Arthur Conan Doyle,"",9788124200230,paperback,read,2018/10/26,2018/10/29,2018/10/29,1,"",,,,,,,4.0,,"",,"",No
Neurogastronomy: How the Brain Creates Flavor and Why It Matters,Gordon Shepherd,"",9780231159104,hardcover,to-read,2023/12/06,"","",0,"",,,,,,,,,"",,"",No
The Two Towers,J.R.R. Tolkien,"",9780618346264,paperback,read,2015/10/08,"","",1,"",,,,,,,4.0,,"",,"",No
The Dragons of Eden: Speculations on the Evolution of Human Intelligence,Carl Sagan,"",9780345346292,paperback,read,2016/08/01,2017/05/30,2017/05/30,1,"",,,,,,,3.0,,"",,"",No
Providence,Max Barry,"",9780593085172,hardcover,to-read,2021/07/18,"","",0,"",,,,,,,,,"",,"",No
The Last Question,Isaac Asimov,"Bob E. Flick, Jim Gallant",9781884214493,audio,read,2015/10/08,"","",1,"",,,,,,,5.0,,"",,"",No
Such a Fun Age,Kiley Reid,"",9780525541905,hardcover,to-read,2021/02/09,"","",0,"",,,,,,,,,"",,"",No
El mago que se perdió en su sombrero,Lars Vasa Johansson,"",9788416634484,paperback,to-read,2019/02/08,"","",0,"",,,,,,,,,"",,"",No
Marianela,Benito Pérez Galdós,"",9788471551474,paperback,read,2015/10/07,"","",1,"",,,,,,,2.0,"A diferencia de otros libros de Pérez Galdós aquí es imposible dejar ir que viven en otra época. Es decir, este libro no envejece bien y no pude conectarme con los personajes","",,"",No
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch","Terry Pratchett, Neil Gaiman",Martin Jarvis (Narrator),9780061735813,audio,read,2019/02/11,2019/03/19,2019/03/19,1,"",,,,,,,3.0,,"",,"",No
Marcelo in the Real World,Francisco X. Stork,"",9780545054744,hardcover,read,2016/06/14,2016/09/22,2016/09/22,1,"",,,,,,,4.0,,"",,"",No
The Man from St. Petersburg,Ken Follett,"",9780451208705,paperback,to-read,2024/03/09,"","",0,"",,,,,,,,,"",,"",No
